Patent ID,Title,Publication Date,Result Link
US-11850021-B2,Dynamic self-learning medical image method and system ,2023-12-26,https://patents.google.com/patent/US11850021B2/en
US-11114208-B1,Methods and systems for predicting a diagnosis of musculoskeletal pathologies ,2021-09-07,https://patents.google.com/patent/US11114208B1/en
US-11488714-B2,Machine learning for collaborative medical data metrics ,2022-11-01,https://patents.google.com/patent/US11488714B2/en
US-10438354-B2,Deep learning medical systems and methods for medical procedures ,2019-10-08,https://patents.google.com/patent/US10438354B2/en
US-10789706-B2,Systems and methods for medical acquisition processing and machine learning for anatomical assessment ,2020-09-29,https://patents.google.com/patent/US10789706B2/en
US-11216950-B2,Method and system for automatically segmenting blood vessel in medical image by using machine learning and image processing algorithm ,2022-01-04,https://patents.google.com/patent/US11216950B2/en
US-10846853-B2,"Medical image processing apparatus, medical image processing method, and medical image processing program ",2020-11-24,https://patents.google.com/patent/US10846853B2/en
US-10896352-B2,Deep learning medical systems and methods for image reconstruction and quality evaluation ,2021-01-19,https://patents.google.com/patent/US10896352B2/en
US-12073333-B2,Predicting rates of hypoglycemia by a machine learning system ,2024-08-27,https://patents.google.com/patent/US12073333B2/en
US-11133107-B2,Machine learning allergy risk diagnosis determination ,2021-09-28,https://patents.google.com/patent/US11133107B2/en
US-11854197-B2,Classification of medical images using machine learning to account for body orientation ,2023-12-26,https://patents.google.com/patent/US11854197B2/en
US-11969266-B2,Embedded networked deep learning for implanted medical devices ,2024-04-30,https://patents.google.com/patent/US11969266B2/en
US-11769250-B2,"Medical care support device, medical care support method, and medical care support program ",2023-09-26,https://patents.google.com/patent/US11769250B2/en
US-11321589-B2,"Apparatus and method for generating medical image segmentation deep-learning model, and medical image segmentation deep-learning model generated therefrom ",2022-05-03,https://patents.google.com/patent/US11321589B2/en
US-11410757-B2,Facilitating health intervention suggestion for disease mitigation and/or prevention ,2022-08-09,https://patents.google.com/patent/US11410757B2/en
US-9704098-B2,Generating a classifier for performing a query to a given knowledge base ,2017-07-11,https://patents.google.com/patent/US9704098B2/en
US-11636949-B2,Hybrid knowledge graph for healthcare applications ,2023-04-25,https://patents.google.com/patent/US11636949B2/en
US-11923057-B2,Method and system using artificial intelligence to monitor user characteristics during a telemedicine session ,2024-03-05,https://patents.google.com/patent/US11923057B2/en
US-10930372-B2,Solution for drug discovery ,2021-02-23,https://patents.google.com/patent/US10930372B2/en
US-11404145-B2,Medical machine time-series event data processor ,2022-08-02,https://patents.google.com/patent/US11404145B2/en
US-11915816-B2,Systems and methods of using artificial intelligence and machine learning in a telemedical environment to predict user disease states ,2024-02-27,https://patents.google.com/patent/US11915816B2/en
US-11295861-B2,Extracted concept normalization using external evidence ,2022-04-05,https://patents.google.com/patent/US11295861B2/en
US-11468998-B2,Methods and systems for software clinical guidance ,2022-10-11,https://patents.google.com/patent/US11468998B2/en
US-10366332-B2,Tailoring question answering system output based on user expertise ,2019-07-30,https://patents.google.com/patent/US10366332B2/en
US-11862339-B2,Model optimization and data analysis using machine learning techniques ,2024-01-02,https://patents.google.com/patent/US11862339B2/en
US-11074485-B2,System and method for identifying optimal effective communication channel for subject engagement ,2021-07-27,https://patents.google.com/patent/US11074485B2/en
US-11759109-B2,"Method for automating collection, association, and coordination of multiple medical data sources ",2023-09-19,https://patents.google.com/patent/US11759109B2/en
US-10740940-B2,Automatic generation of fundus drawings ,2020-08-11,https://patents.google.com/patent/US10740940B2/en
US-8612261-B1,Automated learning for medical data processing system ,2013-12-17,https://patents.google.com/patent/US8612261B1/en
US-11783130-B2,Using unsupervised machine learning for automatic entity resolution of natural language records ,2023-10-10,https://patents.google.com/patent/US11783130B2/en
US-11615331-B2,Explainable artificial intelligence ,2023-03-28,https://patents.google.com/patent/US11615331B2/en
US-11842286-B2,Machine learning platform for structuring data in organizations ,2023-12-12,https://patents.google.com/patent/US11842286B2/en
US-11211168-B2,Systems and methods for identifying content based on user interactions ,2021-12-28,https://patents.google.com/patent/US11211168B2/en
US-11250947-B2,Providing auxiliary information regarding healthcare procedure and system performance using augmented reality ,2022-02-15,https://patents.google.com/patent/US11250947B2/en
US-12014832-B2,Method and apparatus for prediction of complications after surgery ,2024-06-18,https://patents.google.com/patent/US12014832B2/en
US-12020819-B2,Computerized systems and methods for facilitating clinical decision making ,2024-06-25,https://patents.google.com/patent/US12020819B2/en
US-10990631-B2,Linking documents using citations ,2021-04-27,https://patents.google.com/patent/US10990631B2/en
US-11011266-B2,Health provider matching service ,2021-05-18,https://patents.google.com/patent/US11011266B2/en
US-11410086-B2,System and method for class specific deep learning ,2022-08-09,https://patents.google.com/patent/US11410086B2/en
US-11929175-B2,Blood transfusion management using artificial intelligence analytics ,2024-03-12,https://patents.google.com/patent/US11929175B2/en
US-11514329-B2,Data-driven deep learning model generalization analysis and improvement ,2022-11-29,https://patents.google.com/patent/US11514329B2/en
US-11992727-B2,Wearable device systems and methods for guiding physical movements ,2024-05-28,https://patents.google.com/patent/US11992727B2/en
US-11317975-B2,Method and system for treating patients via telemedicine using sensor data from rehabilitation or exercise equipment ,2022-05-03,https://patents.google.com/patent/US11317975B2/en
US-10366624-B2,"Differentially weighted modifiable prescribed history reporting apparatus, systems, and methods for decision support and health ",2019-07-30,https://patents.google.com/patent/US10366624B2/en
US-11030990-B2,Automatic answer rephrasing based on talking style ,2021-06-08,https://patents.google.com/patent/US11030990B2/en
US-11734491-B2,Linguistically-driven automated text formatting ,2023-08-22,https://patents.google.com/patent/US11734491B2/en
US-11901052-B2,System and method for handling exceptions during healthcare record processing ,2024-02-13,https://patents.google.com/patent/US11901052B2/en
US-9847974-B2,Image document processing in a client-server system including privacy-preserving text recognition ,2017-12-19,https://patents.google.com/patent/US9847974B2/en
US-12002585-B2,"Apparatus, computer program product, and method for predictive data labelling using a dual-prediction model system ",2024-06-04,https://patents.google.com/patent/US12002585B2/en
US-11062214-B2,Computerized system and method of open account processing ,2021-07-13,https://patents.google.com/patent/US11062214B2/en
US-11282609-B1,Modular data system for processing multimodal data and enabling parallel recommendation system processing ,2022-03-22,https://patents.google.com/patent/US11282609B1/en
US-11416472-B2,Automated computing platform for aggregating data from a plurality of inconsistently configured data sources to enable generation of reporting recommendations ,2022-08-16,https://patents.google.com/patent/US11416472B2/en
US-10915721-B1,Graphical user interface features for a mobile device coupled to a barcode scanner ,2021-02-09,https://patents.google.com/patent/US10915721B1/en
US-11422919-B2,Systems and methods for scientific evaluation of program code outputs ,2022-08-23,https://patents.google.com/patent/US11422919B2/en
US-11080615-B2,Generating chains of entity mentions ,2021-08-03,https://patents.google.com/patent/US11080615B2/en
US-11120913-B2,Evaluating drug-adverse event causality based on an integration of heterogeneous drug safety causality models ,2021-09-14,https://patents.google.com/patent/US11120913B2/en
US-11636350-B1,Systems and methods for automated scribes based on knowledge graphs of clinical information ,2023-04-25,https://patents.google.com/patent/US11636350B1/en
US-12046345-B2,Methods and systems for managing patient treatment compliance ,2024-07-23,https://patents.google.com/patent/US12046345B2/en
US-11492741-B2,Electronic device ,2022-11-08,https://patents.google.com/patent/US11492741B2/en
US-11581092-B1,Dynamic assessment for decision support ,2023-02-14,https://patents.google.com/patent/US11581092B1/en
US-11842810-B1,Real-time feedback systems for tracking behavior change ,2023-12-12,https://patents.google.com/patent/US11842810B1/en
US-8660857-B2,Method and system for outcome based referral using healthcare data of patient and physician populations ,2014-02-25,https://patents.google.com/patent/US8660857B2/en
US-11928567-B2,System and method for improving machine learning models by detecting and removing inaccurate training data ,2024-03-12,https://patents.google.com/patent/US11928567B2/en
US-10607736-B2,Extending medical condition base cartridges based on SME knowledge extensions ,2020-03-31,https://patents.google.com/patent/US10607736B2/en
US-11816584-B2,"Method, apparatus and computer program products for hierarchical model feature analysis and decision support ",2023-11-14,https://patents.google.com/patent/US11816584B2/en
US-11270795-B2,Method and system for enabling physician-smart virtual conference rooms for use in a telehealth context ,2022-03-08,https://patents.google.com/patent/US11270795B2/en
US-9646265-B2,"Model updating method, model updating device, and recording medium ",2017-05-09,https://patents.google.com/patent/US9646265B2/en
US-12083677-B2,Robotic intervention systems ,2024-09-10,https://patents.google.com/patent/US12083677B2/en
US-12073944-B2,Method and system for characterizing stool patterns of young infants ,2024-08-27,https://patents.google.com/patent/US12073944B2/en
US-11610678-B2,Medical diagnostic aid and method ,2023-03-21,https://patents.google.com/patent/US11610678B2/en
US-11580090-B2,Community data aggregation with automated followup ,2023-02-14,https://patents.google.com/patent/US11580090B2/en
US-11003988-B2,Hardware system design improvement using deep learning algorithms ,2021-05-11,https://patents.google.com/patent/US11003988B2/en
US-11810671-B2,System and method for providing health information ,2023-11-07,https://patents.google.com/patent/US11810671B2/en
US-11200968-B2,Verifying medical conditions of patients in electronic medical records ,2021-12-14,https://patents.google.com/patent/US11200968B2/en
US-10984913-B2,Blockchain system for natural language processing ,2021-04-20,https://patents.google.com/patent/US10984913B2/en
US-11106284-B2,Determining and evaluating data representing an action to be performed by a robot ,2021-08-31,https://patents.google.com/patent/US11106284B2/en
US-11720809-B2,Modeling for complex outcomes using clustering and machine learning algorithms ,2023-08-08,https://patents.google.com/patent/US11720809B2/en
US-11954139-B2,Deep document processing with self-supervised learning ,2024-04-09,https://patents.google.com/patent/US11954139B2/en
US-10234853-B2,Systems and methods for managing industrial assets ,2019-03-19,https://patents.google.com/patent/US10234853B2/en
US-11170895-B2,Olfactory cognitive diagnosis ,2021-11-09,https://patents.google.com/patent/US11170895B2/en
US-11048874-B2,Medical record error detection system and method ,2021-06-29,https://patents.google.com/patent/US11048874B2/en
US-8504392-B2,Automatic coding of patient outcomes ,2013-08-06,https://patents.google.com/patent/US8504392B2/en
US-11031139-B2,Systems and methods for conversational flexible data presentation ,2021-06-08,https://patents.google.com/patent/US11031139B2/en
